epoch,loss,mae,val_loss,val_mae
1,0.19769476354122162,0.2946024537086487,0.05403859540820122,0.17445792257785797
2,0.046104561537504196,0.15861372649669647,0.04919498413801193,0.16762149333953857
3,0.03896563500165939,0.1437283307313919,0.0454978309571743,0.1588064581155777
4,0.03486981242895126,0.13468360900878906,0.04523469880223274,0.1588471382856369
5,0.032168854027986526,0.12848608195781708,0.04258834198117256,0.15261343121528625
6,0.0308697372674942,0.12499268352985382,0.042607441544532776,0.15486805140972137
7,0.02922680974006653,0.12123654782772064,0.04237714782357216,0.15269586443901062
8,0.028310472145676613,0.11906808614730835,0.04108605161309242,0.14966978132724762
9,0.027180299162864685,0.1166553944349289,0.03998393565416336,0.15034238994121552
10,0.02648281678557396,0.11472019553184509,0.039092399179935455,0.1471857726573944
11,0.02569999359548092,0.11310102045536041,0.0381457656621933,0.14689618349075317
12,0.025111885741353035,0.11167555302381516,0.038008913397789,0.14542892575263977
13,0.024543870240449905,0.11009655147790909,0.03647361323237419,0.14381246268749237
14,0.023853952065110207,0.10865730047225952,0.03525824844837189,0.1408853828907013
15,0.02363622933626175,0.10779061168432236,0.03539907559752464,0.1409744769334793
16,0.0231627244502306,0.10653317719697952,0.03746824711561203,0.1464485079050064
17,0.022782955318689346,0.10579913854598999,0.037816550582647324,0.1458180546760559
18,0.022548064589500427,0.10526536405086517,0.03926021233201027,0.1496765911579132
19,0.022062653675675392,0.10364297777414322,0.03427674248814583,0.13916745781898499
20,0.02169579081237316,0.10284358263015747,0.03343524783849716,0.1376723051071167
21,0.021340586245059967,0.1020064428448677,0.03660782054066658,0.14538174867630005
22,0.02117176167666912,0.1014891266822815,0.0389750711619854,0.15044625103473663
23,0.02082275226712227,0.10057532787322998,0.036715202033519745,0.14550112187862396
24,0.02066289260983467,0.09996252506971359,0.0387548953294754,0.14996163547039032
25,0.020515555515885353,0.0998254269361496,0.036019522696733475,0.14457213878631592
26,0.0202895887196064,0.09900720417499542,0.036633025854825974,0.14694471657276154
27,0.02015889436006546,0.09874127060174942,0.03425312787294388,0.14137661457061768
