epoch,loss,mae,val_loss,val_mae
1,0.19972200691699982,0.2959749102592468,0.05373698100447655,0.1771526336669922
2,0.046370070427656174,0.15905505418777466,0.04749199375510216,0.16513767838478088
3,0.03898847848176956,0.14437180757522583,0.046512484550476074,0.16386479139328003
4,0.03505415841937065,0.13514569401741028,0.04339275881648064,0.15670523047447205
5,0.03224201500415802,0.12888526916503906,0.03922279551625252,0.1479274183511734
6,0.030657928436994553,0.1251363307237625,0.043891966342926025,0.15685103833675385
7,0.02974976971745491,0.12272712588310242,0.03615661337971687,0.1412373185157776
8,0.028285827487707138,0.11946361511945724,0.0394151397049427,0.14786967635154724
9,0.027347037568688393,0.11731614172458649,0.03887774050235748,0.14781586825847626
10,0.02695544995367527,0.11616041511297226,0.04071900248527527,0.15247884392738342
11,0.026057468727231026,0.11420523375272751,0.03792636841535568,0.14716066420078278
12,0.025462836027145386,0.1128331869840622,0.035860806703567505,0.14220978319644928
13,0.024691607803106308,0.1111905574798584,0.03831643983721733,0.14880813658237457
14,0.024823812767863274,0.11063303798437119,0.03469506651163101,0.13997021317481995
15,0.023965679109096527,0.10892392694950104,0.033710453659296036,0.13829229772090912
16,0.023601019755005836,0.1081574410200119,0.034596096724271774,0.14050111174583435
17,0.023158803582191467,0.10693347454071045,0.03448835015296936,0.14058510959148407
18,0.02288568951189518,0.10610415786504745,0.03594176843762398,0.14546243846416473
19,0.022580426186323166,0.10531070828437805,0.03746136650443077,0.14999818801879883
20,0.021733425557613373,0.10349135100841522,0.03682316094636917,0.1476229727268219
21,0.02172440104186535,0.1033715158700943,0.035536039620637894,0.146040141582489
22,0.021405428647994995,0.10265770554542542,0.03597642853856087,0.14719249308109283
