epoch,loss,mae,val_loss,val_mae
1,0.147133931517601,0.25354576110839844,0.05444052815437317,0.17828278243541718
2,0.04397384077310562,0.15400831401348114,0.05178695544600487,0.17307019233703613
3,0.036802392452955246,0.1389363557100296,0.047513242810964584,0.16608543694019318
4,0.03301752358675003,0.13041013479232788,0.03890617936849594,0.14701636135578156
5,0.03059312142431736,0.12480342388153076,0.04090828076004982,0.14994212985038757
6,0.028523283079266548,0.120243601500988,0.038494307547807693,0.14647024869918823
7,0.028109503909945488,0.11849319189786911,0.04041343554854393,0.1483493447303772
8,0.02674950659275055,0.11592565476894379,0.03919139504432678,0.1494627743959427
9,0.025942426174879074,0.11346074193716049,0.040147051215171814,0.1511661857366562
10,0.025184793397784233,0.11206365376710892,0.036291562020778656,0.14098532497882843
11,0.02467695064842701,0.11033846437931061,0.03822917863726616,0.14911188185214996
12,0.024120917543768883,0.1089443638920784,0.034048471599817276,0.13799171149730682
13,0.02364811860024929,0.10786916315555573,0.036014020442962646,0.14246928691864014
14,0.02305050939321518,0.106612928211689,0.03812728449702263,0.14758029580116272
15,0.02302551455795765,0.10610457509756088,0.035176534205675125,0.14064258337020874
16,0.02208784967660904,0.10394302755594254,0.03751037269830704,0.14804492890834808
17,0.021515730768442154,0.10301794111728668,0.03437376767396927,0.14088471233844757
18,0.021378520876169205,0.10241241008043289,0.03185742348432541,0.13603521883487701
19,0.02115827240049839,0.10206012427806854,0.03530067205429077,0.14325186610221863
20,0.020507538691163063,0.10050486028194427,0.031406935304403305,0.13619613647460938
21,0.02023462764918804,0.09977150708436966,0.03249085694551468,0.1398296356201172
22,0.019915880635380745,0.09910928457975388,0.03662926331162453,0.14993822574615479
23,0.0192452073097229,0.09760117530822754,0.03190891072154045,0.1379258632659912
24,0.018770718947052956,0.09628292918205261,0.030987532809376717,0.13677623867988586
25,0.01877153478562832,0.09597790986299515,0.033794112503528595,0.14270687103271484
26,0.018569830805063248,0.09521447122097015,0.030943164601922035,0.13701531291007996
27,0.01809699833393097,0.09420432895421982,0.030598804354667664,0.135319322347641
28,0.01777428388595581,0.09341590106487274,0.030209282413125038,0.13468782603740692
29,0.01778479665517807,0.0931818038225174,0.03139880299568176,0.13785691559314728
30,0.017779288813471794,0.09318200498819351,0.031726300716400146,0.13690465688705444
31,0.017432136461138725,0.0922427847981453,0.0316082239151001,0.13882777094841003
32,0.017206817865371704,0.09156103432178497,0.03089618682861328,0.13636918365955353
33,0.017238499596714973,0.09167096763849258,0.029188262298703194,0.132473424077034
34,0.0169594194740057,0.09042595326900482,0.030540956184267998,0.13411711156368256
35,0.016708869487047195,0.09001666307449341,0.030799582600593567,0.1368347406387329
36,0.016864363104104996,0.09039708226919174,0.02924107201397419,0.13149544596672058
37,0.016346748918294907,0.08895009011030197,0.029657259583473206,0.13308335840702057
38,0.016259027644991875,0.08860558271408081,0.028973503038287163,0.13150416314601898
39,0.015918944031000137,0.08764509856700897,0.030498305335640907,0.13509869575500488
40,0.01573411375284195,0.08735780417919159,0.028733324259519577,0.13091795146465302
41,0.015726841986179352,0.08727308362722397,0.03089490905404091,0.13518574833869934
42,0.015778789296746254,0.0872439593076706,0.03064611367881298,0.13758309185504913
43,0.015506182797253132,0.08645834773778915,0.028743958100676537,0.13120634853839874
44,0.01534698810428381,0.08612770587205887,0.028171563521027565,0.12967389822006226
45,0.015353245660662651,0.08609667420387268,0.03066306747496128,0.13600923120975494
46,0.015202028676867485,0.08556649088859558,0.028465790674090385,0.13088688254356384
47,0.01490254607051611,0.08477084338665009,0.028991255909204483,0.13130512833595276
48,0.014999454841017723,0.08483715355396271,0.02956651709973812,0.13271509110927582
49,0.014558304101228714,0.08371876925230026,0.029589928686618805,0.13230742514133453
50,0.014665625989437103,0.08406863361597061,0.0283510684967041,0.13043373823165894
51,0.014372683130204678,0.08312417566776276,0.027992770075798035,0.12975333631038666
52,0.014605213887989521,0.0836261436343193,0.031054342165589333,0.13717474043369293
53,0.014255148358643055,0.08283689618110657,0.029401037842035294,0.13238263130187988
54,0.014216650277376175,0.08257468044757843,0.03021533414721489,0.1349867880344391
55,0.014097748324275017,0.08232178539037704,0.029320821166038513,0.1318170428276062
56,0.014040879905223846,0.08222818374633789,0.029620522633194923,0.13333508372306824
57,0.013550595380365849,0.08094757050275803,0.029300374910235405,0.13388881087303162
58,0.013811918906867504,0.0815606638789177,0.032064929604530334,0.13980096578598022
