model,MAE,RMSE,MAPE
Naive,107900.28,134801.28,41.13
Seasonal Naive 24h,8105.95,13459.18,3.84
Seasonal Naive 168h,12436.73,19947.32,5.24
Dense NN,11221.812851401612,14806.647216954503,5.723827826259843
